JobTitle,Company,Location,Summary,Salary,JobUrl
"Data Scientist, Data Migration Engineer, Data engineer, etc.",Leadership Solutions Limited,Hong Kong,"ETL flow, Informatica ETL/Alteryx Qliksense), Cloud Senior/Junior Data Migration Software Engineer Data lake/ data migration projects,Testing Automation, SQL…",nan,https://hk.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CSte6oGGtDxh-7fhYpl3JUF32xG07cYNaxIIfxptA_Wgi2_nEAFSrMbNj1WHu8bcy3ZYS1iDiiL1HICB0joqouIaUnJYuz2gC65WAYdCCyIO00sJDjMHs2rE_NoxJXbF0Hp0k3jDItNhtAj0rJ_z0yEW91SOHagESTV2fFqe_S4Jma-hbq60GO8rpyl_rjR2SEeZXK4Tsq3a20oDeSgBLgQU069j5d0kALbGRMtNeayB97WD1BnBHdO_9r2IXykwXEIPE6v9c_a0Y2jBy8n8xJzbka0VqW91ohb443cQy5Z8GukMOoQEIGg35I92SSIo3l40PCBOlZvjpuefAqmJrSkCV61hfu-ygUh_UQpq3e9vTtwVbI7gIys_My6LxbaRhraVvIWRmJ422kF8WkmKq1RA1YUDGRmDsrwQGDXpD6GWqA374IR8XeHkvhCXZOZw8Ekr6dCd9JDCifk4eDV8Eq7fHIK6auhvCdGuwNTFIhrTbeW-JvBcW3J-8C0Si14XrS4EVH6e4wEeZtm6x-6O13fuvejDdZhXPXE4yCNkTgb6BC4tLdqsLhBIPuYJGQlZe0nLwtya6ioRLrjkQjIIs11mJtCgK3p_3t3zVdQohkiUIxhXGjzBHJY2ZjU_s1t3Et4-M6usQ6qBPT-i_2LyUS7mjRIX1pZrQ=&p=0&fvj=0&vjs=3
Data Engineer,VF Asia Limited,Hong Kong,"Previous experience as a Software Engineer/Big Data Engineer Subject Expert In:
The Data Engineer will be an integral member of VF’s Engineering team.",nan,https://hk.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CSte6oGGtDxh-7fhYpl3JUF32xG07cYNaxIIfxptA_Wgi2_nEAFSrMbNj1WHu8bcy3ZYS1iDiiL7ZGklx9E70Tmj0MqJeeAcjHDhQPeJrS6xRQ4iMrhubYx0w-wni4U8p4op2WPR0RHciYddASH5Jk-PE8JYAfKF6vNefwVyzqoBLNTRNzEdtIK6Vbt-b952_LDwr2RInCYrfZcIssINsgQM6p1oIuW_nm1byoP-kcfqbWwP7ud3idUPgJ8gR0I5OmNrQFW-1UfHTcUlomYw1fFOLh1nB0ryMMTkd7Rk6RIMt7cZ4bDUr7w1FUX2UXy5SdvBlTeAckc1Q524aV0EbOlbqQJuB2FcInxTpHygykjnCjnXLMFuyxgejgaak80bKTOS5EoIay9T8ELDd6vJQ9xTpVoV88hjCOcj_V5bCO5oEF51Ze_ynTbVzhB8kkOsnUTl7IIyh3TB1TqbzpFB-hQTTyPY08jEcscnbIWRLnk_tUbK12QeT29ifEYqNnLxO-gQUtVQlfSVyGYLQD97rOyvpeUEW5pDkXurunulG-J9Mkd9WqrAAIxK64dFS5XaGlhb1gqsTI_mjLWVoGqYjjzL8kWVuj-o9DLKheKYGYQl0J9SOYArds65IA634pcBOeY8-T8aCNeWUgEuRHEOYfpgUXpRi_Rnc=&p=1&fvj=0&vjs=3
Data Engineer,Lalamove (HK),"Kowloon Tong, Kowloon","At least 2 years of work experience in a data engineering or data infrastructure role.
As a Data Engineer at Lalamove, you will be part of the growing data team…",nan,https://hk.indeed.com/rc/clk?jk=46c83ce4ba333b8a&fccid=506a5b75a7b31c6f&vjs=3
Machine Learning Engineer,Lalamove (HK),"Kowloon Tong, Kowloon","As a Machine Learning Engineer at Lalamove, you will be part of the growing Data Science team working together with Data Engineers, Data Scientist and Software…",nan,https://hk.indeed.com/rc/clk?jk=dfe69fc62b87a03b&fccid=506a5b75a7b31c6f&vjs=3
Junior Telco Engineer,Aptitude Asia Limited,Hong Kong,"Our client is looking to hire a young and driven engineer to join their international company.
All applications applied through our system will be delivered…",nan,https://hk.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CSte6oGGtDxh-7fhYpl3JUF32xG07cYNaxIIfxptA_Wgi2_nEAFSrMbNj1WHu8bcy3ZYS1iDiiL4AMUkUwISlBC3L20L9L8uw8KOkx7mb4A2yY6s1ylQgqcEvTHE59zsPYMC1M5QC_j2YIv3q1EGRHDjzpJX6QR3_3Hs5n30SafZNzCV8dwWplcvuf_8qormHrEXALwOF8RH8qR7wfEDA9f-dR0X1_opHh6tlV68rDGX0pTWAfONO3ighiWUJmqTPks-IDW9kSJqmBEjfZUZfJFJGROjhRKqFONX8ObVAfzrKbPRh1kvcnvPJ1CtIWcErGnnWifs0vNlv9pCXosrgkxH13vjFoP8qgAYozkuFjnWWyRjw--EgoG432gxm4WTg7aHAtIJpSBd6v55z06fiMGYoobndelTAZqURIGOA8I5rHB0Pw9tN9grIZMGVEbC836n8ffQr38mVzUju-XVAlW5WznVA6FRR2zQZxLMBOvZKNSayGne4AGvzZVXC1FRCMXzgYSsMICkQ3j1JsTJ_1pjldunHx1JwoGAWla7JsHulag7yk-1oAtICX0E2g6aW2qAeiL6NOV_T-gHkJ7vh-AVlUozNdIj1KTOhGJTObWbhEhTqkYPlWhLUgMGgwzcASCaykvsUIT7yUiIWZJeOgghsgGMXcwlY=&p=4&fvj=0&vjs=3
Data Platform Engineer - DataOps,Lalamove (HK),"Kowloon Tong, Kowloon","As a Data Platform Engineer, you will be building the data platform and the underlying data infrastructure, which is the foundation of business analytics,…",nan,https://hk.indeed.com/rc/clk?jk=ac56028cc848c315&fccid=506a5b75a7b31c6f&vjs=3
Data Engineer,Gogovan (HK),"Kwun Tong, Kowloon","Build ETL flows for streamlining data transformations for data analyses.
Experience in building data pipelines for analytics.
Solid understanding of I/O, OS.",nan,https://hk.indeed.com/rc/clk?jk=165d7da2996b097b&fccid=108747570f564124&vjs=3
DevOps Engineer (Data),Lalamove (HK),"Kowloon Tong, Kowloon","As a DevOps Engineer in Data, you will contribute to the design, build and running of our data infrastructure, to increase the flexibility, scalability and…",nan,https://hk.indeed.com/rc/clk?jk=2b71215e21ecebbf&fccid=506a5b75a7b31c6f&vjs=3
Software Engineer (Data),Lalamove (HK),"Kowloon Tong, Kowloon","Knowledge in modern data lake architecture, and data warehousing.
At least 2 years of work experience in a role related to data engineering or data…",nan,https://hk.indeed.com/rc/clk?jk=4d4934df89a67f96&fccid=506a5b75a7b31c6f&vjs=3
Assistant Satellite Operation Engineer (SCC),APT Satellite,Hong Kong,"Personal Data collected will be used for recruitment purpose only.
Control satellites’ attitude and onboard system by executing satellite operation procedures.",nan,https://hk.indeed.com/rc/clk?jk=510502873050b507&fccid=075cfaf248842484&vjs=3
Data Engineer (6-month contract),The Hong Kong Jockey Club,"Happy Valley, Hong Kong Island",Assist Data Science Manager and Data Scientists in design and deliver the best possible artificial intelligence (AI) solution across the Club’s range of digital…,nan,https://hk.indeed.com/rc/clk?jk=6e4a9b25ced9dee7&fccid=f4bb736750dbd965&vjs=3
Data Engineer,TEKsystems Hong Kong,Hong Kong,"Handle data compilation and build data visualization report and dashboard.
(Extracting data from Mongdb with nosql).
Optimization, social media activities, etc.",nan,https://hk.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CSte6oGGtDxh-7fhYpl3JUF32xG07cYNaxIIfxptA_Wgi2_nEAFSrMbNj1WHu8bcy3ZYS1iDiiL_RgQCMyEjYIZc4z1kfFu_RBzouTYrbrGg1n6pb_2mtRTTAFGmCg_0qgUycmox0EL-c-FzeAsgyJfHVnTs30A-66mTLZCiB_lO2aJtcis1oHNY16WYfALw2kkgMpDA9MzhG_AhRfDib635j2oF4IIObDeW2fklXYA0klxhPEPD10eKcW017Q67-8KK3HcgtjEe-IqTz0g9-PcP1Rgmy8BkBbP5uaWVt34pALsFJbgRiIu1O8KX7tekSYJCHOZnIcPfCMyTKGmOl8fPI2tisB_mjEtdplaYf610vf50EQDI-p4P3rWntK6Wg6l4J7uXxQcLlx4QcMDgcqo-DF_AAujqoHDhSZmQ6PKfyjVwE8WYZ2ljy-16MvCrt8-V8G1-rH2RroilhZKwu6S-J-pmjSLnZ0Y3TuaYu3VcH5p1dQr72cmt37Px9S158fNHBWwZ-kIA1HWyPZPKYlNhSRRB8ZGVYLu-SQR-pLSGt_Kj7z7NkEtC5loC3-JrT7twWgWEmfRmU-cwx_q58RyhkPswrcN1q9qJnQC4YxtnwzDOgaEn2SXcmnato1KJu9Ny5ODGk5Z5kYMKYkLG_WakSs1s2ya0AVVboZFO4oMQ==&p=11&fvj=0&vjs=3
Data Center Engineer / Operator,ANDREW FOUND LIMITED,"Tsuen Wan, New Territories","Operating and monitoring computer equipment / network / data centre / server room facilities, Performing user IT support and help desk, Assisting in incident…",nan,https://hk.indeed.com/rc/clk?jk=fb32c4fbcfa9cd2d&fccid=7319d978f6d3a68c&vjs=3
Assistant Operation Engineer (SAC),APT Satellite,Hong Kong,"Personal Data collected will be used for recruitment purpose only.
Work closely with Communication Engineer team to provide highest service availability and…",nan,https://hk.indeed.com/rc/clk?jk=ec65bb43a4d9b976&fccid=075cfaf248842484&vjs=3
Data Science Team Lead,Lalamove (HK),"Kowloon Tong, Kowloon","Ensure data quality and integrity.
Interpret and analyse data problems.
Conceive, plan and prioritise data projects.
Lead data mining and collection procedures.",nan,https://hk.indeed.com/rc/clk?jk=521ff92f1edc1bc2&fccid=506a5b75a7b31c6f&vjs=3
Data Center Engineer / Operator,ANDREW FOUND LIMITED,"Tsuen Wan, New Territories","Operating and monitoring computer equipment / network / data centre / server room facilities, Performing user IT support and help desk, Assisting in incident…",nan,https://hk.indeed.com/rc/clk?jk=fb32c4fbcfa9cd2d&fccid=7319d978f6d3a68c&vjs=3
Assistant Operation Engineer (SAC),APT Satellite,Hong Kong,"Personal Data collected will be used for recruitment purpose only.
Work closely with Communication Engineer team to provide highest service availability and…",nan,https://hk.indeed.com/rc/clk?jk=ec65bb43a4d9b976&fccid=075cfaf248842484&vjs=3
Data Engineer - Virtual Banking,Standard Chartered Bank,Hong Kong,"Knowledge of technology best practices for building a modern data lake, data warehouses and data pipelines.
Good practical experience and knowledge in building…",nan,https://hk.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CSte6oGGtDxh-7fhYpl3JUF32xG07cYNaxIIfxptA_Wgi2_nEAFSrMbNj1WHu8bcy3ZYS1iDiiL3CqKCAPRjDLXCyGbXQlF0MaGXii3xiczkwzmrsb3uhHPh2Ipq8Zfsu37EV3gDcEsGZ-X1p-sB0aCTPQ5qXXhSq9W9zYhOdCFjaYC0Vjm1tFm6Qpz5pp6Ee0-P5Jz652XZR7UEEH-VXvtipeKssROsEV8O-p2Ns2pgVnjeaPNOnA8cIAyFwghJpntDhjM4NMYw2XfFKVFB6CMzet7RdXO3nX8ne5bz5gaqiLDwGBx7XxMKtxLoh4HB4EtK0MrqmeECYIuYey9Wo9PNwKu43_ViVCduwZPHv36JEqNo5QpaJaw7qeZvskVyribaA2UrUuDYntOKr5VKM7f3TplgVI61VeMTi5hZKwYkjEbOmwwq6l-jl2KfTMgltOfTDct_bRg0Livo2jeAq-A0643YlZgx1Rbf92tXCfGKAT8HoENX4sVpeRHuzXTE9B9n7DZV7ISGhk6imtsLpPWmDLUHbw-StLloIP8EMVsZcYpqN4H2XvccuXrdxOQPQAqCHC-4Xh3lzZ218FMBWQGVKdOq-g-x5EUbjknS2QwVVV1k5sbZ5cEDs9u2SDCx2rK-4nAQ6D82copcfIidbuTQc-FFAyL04dXZZOPb4PWQ==&p=2&fvj=0&vjs=3
Data Science Team Lead,Lalamove (HK),"Kowloon Tong, Kowloon","Ensure data quality and integrity.
Interpret and analyse data problems.
Conceive, plan and prioritise data projects.
Lead data mining and collection procedures.",nan,https://hk.indeed.com/rc/clk?jk=521ff92f1edc1bc2&fccid=506a5b75a7b31c6f&vjs=3
Data Engineer,Sun Hung Kai Properties,Hong Kong,"Minimum 5 years of experience in Data Engineer / ETL Developer / System Integration.
Create data tools for analytics and data scientist team members that assist…",nan,https://hk.indeed.com/rc/clk?jk=412410ad21367942&fccid=d0c0bf161993feaa&vjs=3
Senior Data Engineer (Big Data),Lalamove (HK),"Kowloon Tong, Kowloon","Design/build/maintain data lake, implement scalable data ingestion routines and high volume/throughput data pipelines in both near real-time and batch modes…",nan,https://hk.indeed.com/rc/clk?jk=83a45435cbbe7012&fccid=506a5b75a7b31c6f&vjs=3
"Senior Data Scientist, Analytics",Lalamove (HK),"Kowloon Tong, Kowloon","As a Data Scientist at Lalamove, you will be part of the growing Data team working together with fellow Data Scientists, Data Engineers and ML Engineers to…",nan,https://hk.indeed.com/rc/clk?jk=5677c71f2e7c2d67&fccid=506a5b75a7b31c6f&vjs=3
Staff Engineer,Digital Transaction,"Cyberport, Hong Kong Island","Fresh graduates are welcome and will be considered as Engineer Trainee.
All personal data collected will be treated in strict confidence and will only be used…",nan,https://hk.indeed.com/rc/clk?jk=b4ab43e8cbbdded5&fccid=28b789184ab6aa13&vjs=3
Data Scientist,Clover Health (HK),"Kennedy Town, Hong Kong Island","Candidates with less experience will be considered for the Data Scientist role.
Acquire and bring structure to data so that it can be easily integrated into our…",nan,https://hk.indeed.com/rc/clk?jk=eed6d248976f3a0b&fccid=c2f2d20b16cf6d53&vjs=3
Computer Vision Engineer,idNerd Studio (HK),"Lai Chi Kok, Kowloon","Responsible for developing software to analyze real-time video data using Computer Vision.
Do you want to be part of an agile and ambitious team of developers?",nan,https://hk.indeed.com/rc/clk?jk=98ee5835b18e30b4&fccid=92480bda2b8d941c&vjs=3
Machine Learning Engineer,Apoidea (HK),"Lai Chi Kok, Kowloon","We are looking for a Machine Learning Engineer to join our team.
Bachelor or Graduate degree holder in Computer Science, Data Science, Mathematics, Statistics…",nan,https://hk.indeed.com/rc/clk?jk=ba608fe9cf6247d7&fccid=f898fe1869016e01&vjs=3
AI Engineer Job,gini (HK),"Wan Chai, Hong Kong Island","Gini is an award-winning fintech company that specialises in transaction data solutions.
Were on a mission to empower banks with the quality enriched data they…",nan,https://hk.indeed.com/rc/clk?jk=774ef8daeacdca74&fccid=499fbe46a15292f6&vjs=3
Data Center Field Engineer II,Equinix,"Tsuen Wan, New Territories","Data Center Field Engineer II.
As the world’s largest data center company, Equinix brings global leaders the power of interconnection:",nan,https://hk.indeed.com/rc/clk?jk=d69210048ad848e8&fccid=e15d9e27876d9dc3&vjs=3
Data Science and Analytics Manager,Gogovan (HK),"Kwun Tong, Kowloon","Logistics, Data Science, Data Analytics.
Lead, manage and coach a team of data scientists, data analysts and data engineers.
You may fit this role if you have:",nan,https://hk.indeed.com/rc/clk?jk=ebd5931e30881fe9&fccid=108747570f564124&vjs=3
Engineer / Assistant Engineer,CONTROL AUTOMATION,Hong Kong,"Less experience will be considered as Assistant Engineer.
All personal data of unsuccessful applicants will be destroyed within 6 months.
5-6 day work per week.",nan,https://hk.indeed.com/rc/clk?jk=0e3880bf2bc0f30a&fccid=30d96d0e94864709&vjs=3
Computer Vision Engineer,idNerd Studio (HK),"Lai Chi Kok, Kowloon","Responsible for developing software to analyze real-time video data using Computer Vision.
Do you want to be part of an agile and ambitious team of developers?",nan,https://hk.indeed.com/rc/clk?jk=98ee5835b18e30b4&fccid=92480bda2b8d941c&vjs=3
Machine Learning Engineer,Apoidea (HK),"Lai Chi Kok, Kowloon","We are looking for a Machine Learning Engineer to join our team.
Bachelor or Graduate degree holder in Computer Science, Data Science, Mathematics, Statistics…",nan,https://hk.indeed.com/rc/clk?jk=ba608fe9cf6247d7&fccid=f898fe1869016e01&vjs=3
Data Engineer - Virtual Banking,Standard Chartered Bank,Hong Kong,"Knowledge of technology best practices for building a modern data lake, data warehouses and data pipelines.
Good practical experience and knowledge in building…",nan,https://hk.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CSte6oGGtDxh-7fhYpl3JUF32xG07cYNaxIIfxptA_Wgi2_nEAFSrMbNj1WHu8bcy3ZYS1iDiiL3CqKCAPRjDLXCyGbXQlF0MaGXii3xiczkwzmrsb3uhHPh2Ipq8Zfsu37EV3gDcEsGZ-X1p-sB0aCTPQ5qXXhSq9W9zYhOdCFrfb6pDgyH_07QcwqxS3mnFEDhCS51Lfg4Yl0HMKsHrBUoj1kuKe_1rsH5QFyA5fKrsRv7rG0_9bpn1l4VGoUbQ3FCLon9qghpj2bZfe2KWrX0u4S-uLJ14i4Rko_8YJWnz7i_4oclNTLQ35nCyFe6XHzQUe0IfZ24Ot1and4UmWKi4EfWjR3VKIDGZgKr0pikWC0tJvHhCCV_I3SC6sp99wh3m-NSkGVGDZaJ-6njHGKnpqG_w-McVtD25cC6lMicHpFciRo9s1wb_tQ6f2TNPQE6xDZqFdAXp5JAvlDe8r7UnFky7wqiuky6M81Hunel77OXjz_HcGiVf75QDkqS85ReNnz1pluuFJg4ZwM5-l8tKhk4xRiaTIbML8755mdVqq4A8OH0iSMBECEjw0iuIZqGnncRxm29cHRnfQdWbfFpzywQYYWT4DJbvPyWGTrK8wEPfciCB_ixUhd8SJMpXHqn1esEtMT2vNAgIZlziRoMIhMJ1Yh_crAELlgsW3tg==&p=2&fvj=0&vjs=3
AI Engineer Job,gini (HK),"Wan Chai, Hong Kong Island","Gini is an award-winning fintech company that specialises in transaction data solutions.
Were on a mission to empower banks with the quality enriched data they…",nan,https://hk.indeed.com/rc/clk?jk=774ef8daeacdca74&fccid=499fbe46a15292f6&vjs=3
Data Center Field Engineer II,Equinix,"Tsuen Wan, New Territories","Data Center Field Engineer II.
As the world’s largest data center company, Equinix brings global leaders the power of interconnection:",nan,https://hk.indeed.com/rc/clk?jk=d69210048ad848e8&fccid=e15d9e27876d9dc3&vjs=3
Data Science and Analytics Manager,Gogovan (HK),"Kwun Tong, Kowloon","Logistics, Data Science, Data Analytics.
Lead, manage and coach a team of data scientists, data analysts and data engineers.
You may fit this role if you have:",nan,https://hk.indeed.com/rc/clk?jk=ebd5931e30881fe9&fccid=108747570f564124&vjs=3
