,Company,Description,JobTitle,JobUrl,Location,Salary,Summary
0,Ztore (HK),"Ztores data team is rapidly expanding. We are looking for a bright fresh/recent graduates to join and grow with us. You will learn to use cutting edge tools in 3 different streams: 1) machine learning, 2) data engineering, 3) business intelligence. Upon completion of the 1 year programme, you will gain a all-rounded competence in the frontier of business data technology.
What you will be doing in this role
Complete assigned tasks from supervisors in the following streams:
Machine Learning:
Take part in improving the different ML models currently in use, e.g. recommender system, fraud detection.
Evaluate application of ML in other use cases independently, and with guidance, productionise and deploy ML models
Big Data Engineering:
Expand our current data pipeline utilizing streaming/distributed computing frameworks
Design data models for our data warehouse and implement ETL workflows
Business Intelligence:
Create intuitive and interactive data visualizations upon users requests
Organize training activities for internal teams to strengthen data competence in the company
About you
Bachelors degree in any discipline
Solid experience with Python
Machines Learning:
Experience in building ML models, with knowledge about advanced ML topics (neural networks, embedding, etc). Able to formulate a machine learning problem for a business use case.
At least 1 of the followings:
Cloud Architecture/Devops:
Application deployment on cloud using modern tools: docker, serverless architecture, etc.
Databases:
Solid knowledge in SQL queries (joining tables, sub-queries). Knowledge about NoSQL DBs is a plus
Data visualization:
Experience using BI tools (Tableau, PowerBI, Qlik), or advanced use of visualization in R or Python (plotly, ggplot)
Fluency in Cantonese and good written English
Strong interest in FMCG/CRM related data problems
The Ideal Candidate
You have a very strong sense in data
You believe that data is the future, and wish to gain competence as quickly as possible
You enjoy learning and using new technologies on a day to day basis
What we offer
Established data team with multiple modern data/ML workloads in production
Support for learning (Opportunities to attend workshops during working hour, allowance for self-learning and reference books)
A passionate, motivated yet friendly and casual team
Flexibility in assigning tasks to meet your learning and career goals
5-day work
Flexible working hour
Competitive remuneration
Additional Information
Job Level: Entry
Experience Level: EntryLevel
Job Category: Data Science
Related Specialization: Data Science
Specializations: Data Science
Tags: Graduate / Internship
Company
Ztore.com is an online supermarket, selling quality groceries and home essentials. You can simply buy what you want anywhere anytime online. Through our certificated payment gateway, you just choose your favorite delivery time slot and you will receive your delivery at home fast and safe.",Associate Data Scientist (Graduate Program),https://hk.indeed.com/rc/clk?jk=b6d249951d366571&fccid=a2b1683a056683b1&vjs=3,"Cheung Sha Wan, Kowloon",,"Design data models for our data warehouse and implement ETL workflows.
Ztores data team is rapidly expanding.
Strong interest in FMCG/CRM related data problems."
1,Clover Health (HK),"Clover's engineering team is empathetic, caring, and supportive. We are deliberate and self-reflective about the kind of engineering team and culture that we are building, seeking engineers that are not only strong in their own aptitudes but care deeply about supporting each other's growth.

Were looking for a Data Scientist to help us build a revolutionary new health care business internationally.
What you will be doing in this role
Work with our international clients and partners to define goals and identify data assets needed to deliver valuable machine learning models.
Develop models and validation processes that help clients and partners confidently translate insights into action at scale.
Help determine priorities by estimating the potential impact of model and feature development projects.
Acquire and bring structure to data so that it can be easily integrated into our platform.
About you
You have a strong foundation and extensive experience in probability, statistics, and statistical modeling or machine learning.
You have a solid track record working cross-functionally and collaborating with engineering, product, and commercial teams.
You have experience working collaboratively with customers either in a forward deployment/sales engineering or consulting capacity.
You have experience with Python and SQL.

You Will Love This Job If
You want to create impact with your work by finding insights in data that unlock value and improve outcomes.
You have an innate customer focus and love seeing others get value out of your work.
You have a strong understanding of how to develop and evaluate machine learning models that yield actionable results.
You reason holistically, from project scope to priority to implementation, you want to have an impact on how decisions get made.
You are comfortable acting autonomously in ambiguous and dynamic environments.
You are fearless in the face of messy data, and adept at programmatically structuring and cleaning records collected from the real world.
You strive to automate as much as possible, yet understand the value of explicitly incorporating human opinions into the systems you build.
You have just as much interest in helping other people move faster as you do in doing your own work.
Candidates with less experience will be considered for the Data Scientist role.

Pursuant to the San Francisco Fair Chance Ordinance, we will consider for employment qualified applicants with arrest and conviction records. We are an E-Verify company.
What we offer
A great team to work together to build something amazing, and to make true impact to this society
A great platform to allow you to work with latest technology and tools
A great company culture, good engineering practice, and knowledge sharing is what we value here
Competitive package, with flexible working location and hours
Additional Information
Job Level: Mid
Experience Level: Mid Level
Job Category:
Related Specialization: Data Science
Specializations: Data Science
Tags: Machine Learning
Company
About Clover: We are reinventing health insurance by combining the power of data with human empathy to keep our members healthier. We believe the healthcare system is broken, so we've created custom software and analytics to empower our clinical staff to intervene and provide personalized care to the people who need it most.",Data Scientist,https://hk.indeed.com/rc/clk?jk=eed6d248976f3a0b&fccid=c2f2d20b16cf6d53&vjs=3,"Kennedy Town, Hong Kong Island",,"Candidates with less experience will be considered for the Data Scientist role.
Were looking for a Data Scientist to help us build a revolutionary new health…"
2,APT Satellite,"Responsibilities:

Monitor satellite telemetry
Control satellites’ attitude and onboard system by executing satellite operation procedures
Coordinate satellite anomaly actions and ensure information distribution
Monitor and control the running status of ground equipment
Monitor and control TV broadcast system
Monitor and control satellite communication services
Provide helpdesk services

Requirements:

High Diploma or above, major in communication or electronic engineering
1-2 years relevant working experience
Good service-minded and logical thinking
Good communication and interpersonal skills
Fluency in spoken English and Chinese, Putonghua is preferred.
Fresh graduates will also be considered (under the job title: Satellite Controller).
Immediate available is preferable
Capability of software development is preferred
Accept 24 hours shift work
Interested persons, please send your resume to our HR Director at address below, or email to: careers@apstar.com
Personal Data collected will be used for recruitment purpose only.",Assistant Satellite Operation Engineer (SCC),https://hk.indeed.com/rc/clk?jk=1e68c0724d7913f5&fccid=075cfaf248842484&vjs=3,Hong Kong,,"Personal Data collected will be used for recruitment purpose only.
Control satellites’ attitude and onboard system by executing satellite operation procedures."
3,Apoidea (HK),"We are currently looking to hire a Data Scientist to join our team in Hong Kong.
What you will be doing
Participate in the development of our AI solutions and future state products and
offerings, leveraging and expanding your expertise and skills in this domain and
contributing to the growth of AI business.
About you
PhD educated in Computer Science, Data Science, Mathematics, Statistics or other related disciplines;
Strong experience with deep learning framework (i.e. Tensorflow);
Proven command of Python, R or similar languages, as well as knowledgeable in natural language processing, artificial intelligence, machine learning and voice processing technology;
Strong interpersonal and communication skills, positive work attitude, selfmotivated and be a team player;
Good command of written and spoken in English and Chinese.
Additional Information
Job Level: Mid
Experience Level: Mid Level
Job Category: Data Science
Related Specialization: Data Science
Specializations: Data Science
Tags: Tensorflow, Python, R
Company
Apoidea is a leading AI startup adapt Natural Language Processing technology to solve real world business problem. We dedicate to reduce human effort when it comes to extract insights from unstructured text.",Data Scientist,https://hk.indeed.com/rc/clk?jk=871d2e16f95e553f&fccid=f898fe1869016e01&vjs=3,"Lai Chi Kok, Kowloon",,"We are currently looking to hire a Data Scientist to join our team in Hong Kong.
PhD educated in Computer Science, Data Science, Mathematics, Statistics or…"
4,Lalamove (HK),"Lalamove is disrupting the logistics industry by connecting customers and drivers directly through our technology. We offer customers a lightning fast and convenient way to book delivery and moving services whether they are at their home, at work or on the go. People talk about O2O, we live it. Onto our fifth year as a start-up, now operating in Hong Kong, China, Taiwan, Thailand, Singapore, Philippines and Vietnam, our aspirations dont stop there as our model has the ability to transform how goods move in any city worldwide.
As a Data Scientist at Lalamove, you will be part of the growing Data team working together with fellow Data Scientists, Data Engineers and ML Engineers to support different functional departments in the headquarters, as well as our offices across Southeast Asia. You will be responsible for designing and modeling of data-driven solutions used for making our products, services and operations intelligent. You will work on variety of challenges including Dynamic Pricing, Order Allocation, ETA, Fraud Detection, Vehicle Routing and many others you will help identify and resolve. The ideal candidate will have a passion for generating value out of data.
What you will be doing in this role:
Who we seek:
Quick learner: you enjoy analyzing data, building algorithms and you have the ability to learn new methods and technologies quickly
Problem solver: you have strong critical thinking skills, willing to find creative solutions to difficult problems and work smart before hard
High autonomy: self-organized, initiator, passionate with a can-do attitude and own end-to-end projects
Team player: you go the extra mile to ensure success and alignment of all parties involved
Communicative: you have the ability to elaborate complex technical concepts and collaborate effectively with fellow teammates and stakeholders

What you will be doing:
Support different functional departments in the headquarters, as well as our offices across Southeast Asia.
Design and model of data-driven solutions used for making our products, services and operations intelligent.
Work on variety of challenges including Dynamic Pricing, Order Allocation, ETA, Fraud Detection, Vehicle Routing and many others you will help identify and resolve.
Generating value out of data.
About you:
At least 5 year of experience as a data scientist
Educational background in statistics, computer science, other applied sciences or understanding of data science theory
You have hands-on experience designing and building machine learning models and workflows
Experience in one or more of the following: Classical ML, Deep Learning, Image Processing, NLP, Time Series Modeling, Operations Research, Reinforcement Learning and Recommendation Systems
Experience with machine learning frameworks and libraries (e.g. Sklearn, H2O, XGBoost, TensorFlow, Theano, Keras, Spark MLlib)
Proficiency in SQL and Python
Experience with AWS (EC2, EMR, S3, Redshift and Lambda) and distributed computing systems (e.g. Spark) is a plus
Comfortable with Linux and Git commands
Good command of English

What we offer:
Diverse, international team.
Work with some of the best talent from all over the world. We are home to 20+ nationalities here and always welcome diversity.
LEARNING OPPORTUNITIES:
Growth is part of our culture. We pride ourselves in giving our people the autonomy to excel in their roles and many avenues to develop their skills.
CATERED FOOD & DRINKS:
Enjoy fresh fruit, food, and drinks catered on the regular.
FUN, FUN, FUN:
Happy Fridays, summer parties, anniversary prizes, monthly team outings, and more to bond as #OneLalamove!
BEST IN CLASS BENEFITS:
Generous health insurance and provident fund to ensure our people are protected and secured for the future.
COOL OFFICE SPACE:
Large whiteboards, lounge areas, and cold beverages all at your disposal to do your best work yet.
Additional Information
Job Level: Senior
Experience Level: Senior Level
Job Category: Data Science
Related Specialization: Data Science
Specializations: Data Science, Data Analytics
Tags: SQL, Linux, AWS, Python, Git, Fluent English
Company
Lalamove provides on-demand and same-day delivery services by connecting you to our driver partners on our mobile and web apps.","Senior Data Scientist, Analytics",https://hk.indeed.com/rc/clk?jk=5677c71f2e7c2d67&fccid=506a5b75a7b31c6f&vjs=3,"Kowloon Tong, Kowloon",,"At least 5 year of experience as a data scientist.
As a Data Scientist at Lalamove, you will be part of the growing Data team working together with fellow Data…"
5,Krunch,"Job Highlights:

1~2 years of relevant work experience (fresh graduate are welcomed)
Dynamic Tech Startup Environment working closely with US Silicon Valley tech firms
Python and SQL is a must


Job Responsibilities:

Analyze and process complex data sets using advanced querying, visualization and analytics tools
Work on Data Cleansing and Normalizing, Data Management and Data Processing techniques like extracting, concatenating, modeling, sub-setting and duplicate records
Develop algorithms based on deep-dive statistical analysis and predictive data modeling
Collecting data, text standardization and performing text mining using different python libraries to create clusters and classify to compare the lab results


Requirement(Must):

Hong Kong based University graduate in Computer Science, Quantitative Analysis, Statistics or related disciplines
Strong knowledge and experience with Python/R and SQL
Knowledge of a variety of machine learning techniques (clustering, decision tree learning, artificial neural networks, etc.)
Communication skills including written and spoken English (must) and Chinese
Fresh graduates are welcomed


Requirement(Preferred):

Experience with distributed data/computing tools: Hadoop or Apache Spark
Experience visualizing/presenting data for stakeholders using: ggplot, d3.js , Matplottlib, or Tableau
Familiar with different database structures like Array, Trees is a plus
Experience with Unstructured data set would be an advantage
Good interpersonal skills to deliver high quality of work and meet tight deadlines


Benefits:

Attractive salary package
Flexible working hours
Can work remotely as long as deliverables are met on timely manner
Opportunity to travel and connect with tech firms in Silicon Valley
Work with experienced data scientist


If you are interested in this opportunity, please contact Jordan Chung via hello@krunchdata.io",Junior Data Scientist,https://hk.indeed.com/rc/clk?jk=9c88bcc52d01163a&fccid=759c21b516593ed6&vjs=3,Hong Kong,,"Work with experienced data scientist.
Develop algorithms based on deep-dive statistical analysis and predictive data modeling.
Python and SQL is a must."
6,Societe Generale (HK),"SocGen is looking for a data scientest to assist in developing responsible and innovative financial solutions through the use of data and technology
As a data analyst / data scientist you will coordinate with a wide range of business stakeholders and operational teams to implement data driven solutions aiming at answering a business need in order to develop new business opportunities, to improve the quality and/or efficiency of an existing businesses or activity, or to reduce their risks.
What you will be doing in this role:
Work with the business teams and sponsor to translate their business needs into data objectives
Identify the internal or external data sources / datasets relevant to answer those objectives
Do exploratory data analysis to identify patterns, trends and discover insights in order to refine the objectives
Prepare the datasets to be used in the analysis based on the original datasets
Implement the appropriate solution (BI dashboard, machine learning model) to answer the objectives
Share the results back with business experts and present them to the sponsor and stakeholders
Propose improvements to the business based on the interpretations of those results
About you:
Academic Background and Certifications, Experience:
A degree in the following subject is required:Data ScienceMathematics, Statistics or EconomicsComputer Science or Information Systems
Recent Graduate with Bachelor, Master or above in Computer Science, Information Systems, Data Science, Mathematics, Statistics or related disciplines
Not more than 12 months of working experience within financial industries
Qualification:
Experience in manipulating large dataset from database, data warehouse or data lake (Azure or AWS datalike preferred)
Experience with statistical analyses tools (e.g., Python, R) or similar analytically oriented programming languages
Knowledge of Business Intelligence solutions (such as MS PowerBI, Tableau, Tibco SpotFire) will be a strong plus
Experience in the implementation of Artificial Intelligence / Machine Learning algorithms and the intrinsic difference of the different algorithms available to propose the best model for the problem faced (anomaly detection, predictive model, ...)
Behavioral Skills:
Compulsory - Ability to cooperate
Compulsory - Results oriented
Compulsory - Thinking out of box
Important - Open mindset
Important - Simplification mindset
Important - Willing to learn and develop skills
Other behavioural skills
Analytical and problem-solving mindset
Attention to details
Good level of written and verbal communication in English
Equal Opportunities Employer:
We are an equal opportunities employer and we are proud to make diversity a strength for our company. Societe Generale is committed to recognizing and promoting all talents, regardless of their beliefs, age, disability, parental status, ethnic origin, nationality, sexual or gender identity, sexual orientation, membership of a political, religious, trade union or minority organisation, or any other characteristic that could be subject to discrimination.
Business insight
Societe Generale is one of the leading European financial services groups. Founded in 1864, we have been playing a vital role in the economy for over 150 years. With more than 148,000 employees based in 76 countries worldwide, we accompany 32 million clients throughout the world on a daily basis. Based on a diversified universal banking model, the Group combines financial strength with a strategy of sustainable growth.


Our expertise in the Asia Pacific region ranges from Corporate & Investment Banking (Advisory, Financing and Global Markets) to Asset Management, Securities Services, Trade Finance and Cash Management Services. Leveraging on our formidable global footprint, we serve corporates, financial institutions and the public sector. With our regional headquarters in Hong Kong, we operate in 11 countries across Asia Pacific, employing over 6,600 employees. You can find us in Beijing, Seoul, Tokyo, Singapore, Mumbai, Sydney and other locations in the region.

At Societe Generale we have developed and continue to develop advanced programmes to support your career development. A diverse and comprehensive Learning & Development programme, a Junior programme for graduates and a Remuneration policy that stimulates your growth are just a few examples that illustrate how we help you to fulfill yourself personally and professionally, and how we develop your ability to adapt to ever-changing environments and transform challenges into opportunities.
Additional Information
Job Level: Mid
Experience Level: Mid Level
Job Category: Data Science
Related Specialization: Data Science
Specializations: Data Science
Tags: Python, R, Fluent English, Tableau, TibcoRV, Azure, AWS
Company
Societe Generale Corporate and Investment Bank in Asia is investing in its digital capabilities and data to boost its business development. You will be part of those initiatives under the sponsorship of senior managers of the bank",Data Scientist,https://hk.indeed.com/rc/clk?jk=0f9ab0ad933d882a&fccid=80e94ac0a9826632&vjs=3,"Admiralty, Hong Kong Island",,"Do exploratory data analysis to identify patterns, trends and discover insights in order to refine the objectives.
What you will be doing in this role:"
7,Gogovan (HK),"We are looking for a tech-and-business savvy Data Analyst to join our data team.
What you will be doing in this role:
Understand and clarify stakeholder requirements and objectively interpret analysis results to make data-informed decisions
Perform quantitative analysis using Python (or R / Matlab) to uncover actionable insights and recommend feasible solution for our operation, product, marketing and other business units
Write SQL to process data in Postgres/MySQL databases and AWS Athena
Build dashboards with Apache Superset to visualize data and monitor KPI
Evaluate impact of business solutions/decisions and implement experiments related to incentive schemes, product feature change, marketing campaigns
Build models and algorithms to optimize solutions for marketplace efficiency and user retention and to estimate possible impact of our business actions
Perform statistical analysis to test significance of results due to business decisions and external factors
Create and maintain ETL jobs to pre-process data from various sources for analytics purpose
Process data with Spark or Java/Scala
Scrap data from web sources and API
Analyse user behaviour with Mixpanel and Appsflyer
Conduct experiments with Braze messaging system to engage and retain users
Write Javascript to develop web-based data exploration tools; knowing Node.js, React JS and Kepler.gl is a plus
About you:
excited by the work
willing to learn parts of the list above that you are less familiar with
an analytical and curious person
an excellent team player
a pragmatic & results-driven person
able to partner with cross functional teammates and innovate
love making suggestions to improve our work and culture

What we offer:
birthday Leave
medical and dental Insurance
free GOGOVAN rides
competitive salary
clear career progression path
Additional Information
Job Level: Mid
Experience Level: Mid Level
Job Category: Data Science
Related Specialization: Data Science
Specializations: Logistics, Data Science, Data Analytics
Tags: Fluent Cantonese, Fluent English, Fluent Mandarin, Python, AWS, ETL, SQL, Java, Scala
Company
Over the years, GOGOVAN has expanded its business from Hong Kong to Singapore, South Korea, Mainland China, India, and Taipei City and will continue to expand globally. In August 2017, GOGOVAN merged with 58 Suyun, the leader in Mainland Chinas intra-city logistics market, and increased GOGOVANs presence to over 300 cities, with more than 8 million registered drivers under its network.",Data Scientist/Analyst,https://hk.indeed.com/rc/clk?jk=167789dcce2a8487&fccid=108747570f564124&vjs=3,"Kwun Tong, Kowloon",,"Logistics, Data Science, Data Analytics.
We are looking for a tech-and-business savvy Data Analyst to join our data team.
Process data with Spark or Java/Scala."
8,Lalamove (HK),"Lalamove is disrupting the logistics industry by connecting customers and drivers directly through our technology. We offer customers a lightning fast and convenient way to book delivery and moving services whether they are at their home, at work or on the go. People talk about O2O, we live it. Onto our fifth year as a start-up, now operating in Hong Kong, China, Taiwan, Thailand, Singapore, Philippines and Vietnam, our aspirations dont stop there as our model has the ability to transform how goods move in any city worldwide.
As a Machine Learning Engineer at Lalamove, you will be part of the growing Data Science team working together with Data Engineers, Data Scientist and Software Engineers to support different functional departments in the headquarters, as well as our offices across Southeast Asia. You will be responsible for creating the technology that brings to production data-driven solutions - used for making our products, services and operations intelligent. You will work on a variety of challenges including Dynamic Pricing, Order Allocation, ETA, Fraud Detection, Vehicle Routing and many other applications you will help go live. The ideal candidate will have a passion for building machine learning systems from the ground up and for optimising them.
What we seek:
Quick learner: you enjoy working with data and algorithms and have the ability to learn new frameworks and technologies quickly
Problem solver: you have strong critical thinking skills and willing to find creative solutions to difficult problems
High autonomy: organised, passionate with a can-do attitude and own end-to-end projects
Team player: you go the extra mile to ensure success and alignment of all parties involved
Evangelist: you effectively teach and promote innovative tech, challenge and influence the strategy of stakeholders
What you will be doing in this role:
Help shape the direction and architecture of artificial intelligence at Lalamove
Deploy, schedule, monitor, evaluate and optimize solutions for performance and scalability
Build ML development environment for data scientists to model and test prototypes
Collaborate with data scientists to build ML pipelines and move prototypes into large-scale production environment
Partner with data engineers to manage data pipeline requirements as well as infrastructure and software engineers to bring models to production

About you:
3+ years of hands-on experience implementing high availability production machine learning systems
Experience with distributed computing technologies (e.g. Hadoop, Spark, GPUs)
Experience with AWS (S3, Redshift, SageMaker, Lambda) or GCP (ML Engine, KubeFlow)
Experience in one or more of the following: Classical ML, Deep Learning, Image Processing, NLP, Operations Research and Recommendation Systems
Experience with machine learning frameworks and libraries (e.g. Sklearn, H2O, XGBoost, TensorFlow, Theano, Keras, Spark MLlib)
Proficiency in SQL and Python
Good command of English
Nice to have:
Familiarity with Redis and MySQL
Familiarity with Scala, Golang, PHP or Javascript
Logistics domain knowledge

What we offer:
Fun and diverse culture
International team environment
Annual Performance Related Bonus
Healthcare/Insurance Cover
Choose between a Mac or Windows workstation
Free Lalamove swag and merch!
Monthly credit to use on the Lalamove Application
Fresh Fruit delivered daily
Well-stocked fridge full of all the refreshments you need to get you through your day
Annual Summer company trips
15 days paid annual leave
Parental Leave
Stunning brand new offices, a 2 min walk from MTR Kowloon Tong

Additional Information
Job Level: Mid
Experience Level: Mid Level
Job Category: Software Engineering
Related Specialization: Software Engineering
Specializations: Software Engineering
Tags: Machine Learning, AWS, Hadoop, Spark, SQL, Python, Redis, MySQL, Scala, Golang, PHP, Javascript, GCP, Deep Learning, Image Processing, NLP, Operation Systems, Recommendation Systems
Company
Lalamove provides on-demand and same-day delivery services by connecting you to our driver partners on our mobile and web apps.",Machine Learning Engineer,https://hk.indeed.com/rc/clk?jk=dfe69fc62b87a03b&fccid=506a5b75a7b31c6f&vjs=3,"Kowloon Tong, Kowloon",,"As a Machine Learning Engineer at Lalamove, you will be part of the growing Data Science team working together with Data Engineers, Data Scientist and Software…"
9,Gammon Construction,"Ref No. HKG/90100/90100/200303
Responsibilities:

Develop algorithms and statistical predictive models to identify business challenges and opportunities, and support developing business strategies with under guidance;
Analyse structured and unstructured data, visualize findings and discover insights for operation optimization;
Collaborate with business users to ideate and introduce new data science innovations into business areas

Requirements:

Degree in Mathematics, Computer Science, preferably in Statistics;
Fresh graduate welcomed but candidates with relevant work experience are preferred;
Knowledge with machine learning, supervised, unsupervised and reinforcement, classification, regression, clustering models;
High technical aptitude, problem solving abilities, intellectual curiosity, motivation and passion for data discovery;
Excellent command of English and Chinese.
Candidate is expected to complete a short technical assessment",Assistant Data Scientist,https://hk.indeed.com/rc/clk?jk=40bbd6acde9f313f&fccid=8540d6aba9365491&vjs=3,"Kwun Tong, Kowloon",,"High technical aptitude, problem solving abilities, intellectual curiosity, motivation and passion for data discovery;
Excellent command of English and Chinese."
